id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389368381460131842,1389368381460131842,2021-05-04 00:56:50 GMT Summer Time,2021-05-04,00:56:50,+0100,23692885,jim2eet,Jim Connell,, https://t.co/cRmJqKEpPr Another great convo with sec. Pete B. via BTC,en,[],['https://youtu.be/PS3JKECkW14'],[],0,0,0,[],[],https://twitter.com/Jim2eet/status/1389368381460131842,False,,0,,,,,,,,[],,,,
1389368352594972674,1389230848319361025,2021-05-04 00:56:43 GMT Summer Time,2021-05-04,00:56:43,+0100,1180279278937743360,wodadeol,wodd,,@An_o_nymous @BTC_Archive @Jurgen69969482 Duidelijk ons gesprek aant lezen,nl,[],[],[],0,0,0,[],[],https://twitter.com/wodadeol/status/1389368352594972674,False,,0,,,,,,,,"[{'screen_name': 'An_o_nymous', 'name': 'positions', 'id': '2451770118'}, {'screen_name': 'BTC_Archive', 'name': 'Bitcoin Archive 🗄🚀🌔', 'id': '970994516357472257'}, {'screen_name': 'Jurgen69969482', 'name': 'Lawn Doctor #TELCOIN @LFC', 'id': '1339385729273741313'}]",,,,
1389368317702463490,1389351852215439360,2021-05-04 00:56:34 GMT Summer Time,2021-05-04,00:56:34,+0100,727633524057083905,netlijon,Linus Joensson,,"@alexgarc_ @Foobazzler Historically, fundamentals have not really been priced in beforehand. Rather undervalued and finally squeezed to the moon as they kick in, both for BTC and ETH.",en,[],[],[],0,0,0,[],[],https://twitter.com/NetLijon/status/1389368317702463490,False,,0,,,,,,,,"[{'screen_name': 'alexgarc_', 'name': 'Not Shia LaBΞouf', 'id': '635761887'}, {'screen_name': 'Foobazzler', 'name': 'FoobazzlΞr 🇪🇹🦇🔊', 'id': '706407124079775744'}]",,,,
1389368302355435520,1389368302355435520,2021-05-04 00:56:31 GMT Summer Time,2021-05-04,00:56:31,+0100,1334165365455142913,nextinvestau,Next Invest,,Started from the bottom now we here #btc,en,[],[],[],0,0,0,['btc'],[],https://twitter.com/NextInvestAU/status/1389368302355435520,False,https://twitter.com/DocumentingBTC/status/1389312276814041095,0,,,,,,,,[],,,,
1389368269866426371,1389368269866426371,2021-05-04 00:56:23 GMT Summer Time,2021-05-04,00:56:23,+0100,953826750680780801,icx_hypebeast,ICX Hypebeast 📈,,Looking for BTC dominance below 40%. I think 38% and lower is where the magic happens,en,[],[],[],0,0,1,[],[],https://twitter.com/ICX_Hypebeast/status/1389368269866426371,False,,0,,,,,,,,[],,,,
1389368267295318019,1389368267295318019,2021-05-04 00:56:22 GMT Summer Time,2021-05-04,00:56:22,+0100,4481504002,netpara0,Net Para,,#sxp $sxp #btc   #sxpusdt güncelleme. Ytd.  #altcoin #altcoins #Altseason2021  https://t.co/NT4847EmXW,fi,[],[],['https://pbs.twimg.com/media/E0gHD-gXEAErKsO.jpg'],0,1,3,"['sxp', 'btc', 'sxpusdt', 'altcoin', 'altcoins', 'altseason2021']",['sxp'],https://twitter.com/netpara0/status/1389368267295318019,False,https://twitter.com/netpara0/status/1388857914237067266,1,https://pbs.twimg.com/media/E0gHD-gXEAErKsO.jpg,,,,,,,[],,,,
1389368266590666752,1389193477129490435,2021-05-04 00:56:22 GMT Summer Time,2021-05-04,00:56:22,+0100,1631591418,jjmatrader,"JJ ""Bitcoin is truth"" Ma",,"@gooselose @ColdBloodShill I do hodl, but if you take a small amount, use it with leverage, you can add to your stack. Didn't say I was shorting #eth right now, but acknowledging that there is an opportunity. I play #BTC perpetuals tho.",en,[],[],[],1,0,1,"['eth', 'btc']",[],https://twitter.com/JJMaTrader/status/1389368266590666752,False,,0,,,,,,,,"[{'screen_name': 'gooselose', 'name': 'Anthony Borgognone', 'id': '203916296'}, {'screen_name': 'ColdBloodShill', 'name': 'Cold Blooded Shiller', 'id': '987343085251317760'}]",,,,
1389368263700738049,1389351339407200257,2021-05-04 00:56:21 GMT Summer Time,2021-05-04,00:56:21,+0100,1350079676719403013,kazunosukebe,和之介🦝🐾,,@daikichinz3 イーサもなかなか😌 BTC一強が覆されるかもですな,ja,[],[],[],0,0,1,[],[],https://twitter.com/kazunosukebe/status/1389368263700738049,False,,0,,,,,,,,"[{'screen_name': 'daikichinz3', 'name': '大吉', 'id': '1130043255989497856'}]",,,,
1389368256322957316,1389368256322957316,2021-05-04 00:56:20 GMT Summer Time,2021-05-04,00:56:20,+0100,1311451130052792320,da_specialists,Digital Asset Specialists,,"Now that #Ethereum has gone parabolic, I’m starting to see a lot of “sell your #Bitcoin, $BTC is dead” comments everywhere. The herd was saying the same thing about $ETH a few months ago and now look what happened...People never learn 🤦‍♂️",en,[],[],[],0,0,1,"['ethereum', 'bitcoin']","['btc', 'eth']",https://twitter.com/da_specialists/status/1389368256322957316,False,,0,,,,,,,,[],,,,
1389368255668658179,1389368255668658179,2021-05-04 00:56:20 GMT Summer Time,2021-05-04,00:56:20,+0100,1326583267991056384,cryptochainmonk,CryptoChainMonk,,"CryptoBanter: $ETH momentum, $BTC Dominance slides, institutions and retails buying $ETH. Predictions: $SOL, $BNB, $EGLD going to run with $ETH defi TVL gets larger, $link runs, NFTs,  S&amp;P cool down in May. Vesper, Harvest, others in Defi. $TLM, ImpermAX $IMX, $ZIL breaks out  https://t.co/oqUOqD0w1o",en,[],[],"['https://pbs.twimg.com/media/E0gA7VvVUAMKEdE.jpg', 'https://pbs.twimg.com/media/E0gBB0HVEAAe2Uz.jpg']",0,1,4,[],"['eth', 'btc', 'eth', 'sol', 'bnb', 'egld', 'eth', 'link', 'tlm', 'imx', 'zil']",https://twitter.com/CryptoChainMonk/status/1389368255668658179,False,,1,https://pbs.twimg.com/media/E0gA7VvVUAMKEdE.jpg,,,,,,,[],,,,
1389368255345745924,1389362015404179458,2021-05-04 00:56:19 GMT Summer Time,2021-05-04,00:56:19,+0100,1319357078172061696,penqu1n1,Penqu1n,,@nebraskangooner The thing they don't tell you about alt season is that it usually means btc capitulation isn't far behind.   Routing for btc to push up that top Bollinger band and start extending that top keltner channel again,en,[],[],[],0,0,0,[],[],https://twitter.com/Penqu1n1/status/1389368255345745924,False,,0,,,,,,,,"[{'screen_name': 'nebraskangooner', 'name': 'NebraskanGooner📈', 'id': '3696215239'}]",,,,
1389368237129879555,1389004112654655489,2021-05-04 00:56:15 GMT Summer Time,2021-05-04,00:56:15,+0100,387466736,mattmontis,Matt Montis,,@stage274 @mcuban I still don’t understand why you’re into ethereum and not btc given your Austrian Econ background philosophy.,en,[],[],[],1,0,0,[],[],https://twitter.com/mattmontis/status/1389368237129879555,False,,0,,,,,,,,"[{'screen_name': 'stage274', 'name': 'Demetri Markou', 'id': '801683425'}, {'screen_name': 'mcuban', 'name': 'Mark Cuban', 'id': '16228398'}]",,,,
